timestamp,price,action,timeframe,status,entry_price,exit_time,exit_price,result,signal_id,strategy_name,candles,trade_id,entry_time
,,sell,60,completed,67736.89874680027,1718266188.341,67730.67312396092,win,1718265942547,RSI Overbought,"[(1718266127.048, 67736.89874680027), (1718266132.063, 67734.52770310987), (1718266142.05, 67725.06096183554), (1718266147.063, 67726.99374724293), (1718266152.062, 67726.50273938119), (1718266157.054, 67726.85077597384), (1718266162.059, 67731.55884558457), (1718266167.132, 67732.55858604655), (1718266172.129, 67729.29300105301), (1718266177.139, 67729.29300105301), (1718266182.135, 67729.33479391906), (1718266188.341, 67730.67312396092)]",,1718266122.5476084
,,sell,60,completed,67730.67312396092,1718266247.055,67728.51279842324,win,1718266003825,RSI Overbought,"[(1718266192.222, 67731.29059478619), (1718266198.432, 67728.07809209927), (1718266202.139, 67728.84546638741), (1718266207.119, 67731.08353764644), (1718266212.124, 67731.73954250808), (1718266217.061, 67731.96991273137), (1718266222.065, 67733.42156176674), (1718266227.045, 67733.42156176674), (1718266232.052, 67733.48637607778), (1718266237.054, 67732.7797601981), (1718266242.046, 67732.7797601981), (1718266247.055, 67728.51279842324)]",,1718266183.8250077
,,sell,60,completed,67713.40372184603,1718266363.598,67703.10185676227,win,1718266122543,RSI Overbought,"[(1718266307.049, 67713.40372184603), (1718266312.058, 67713.92454242583), (1718266317.044, 67712.13927406952), (1718266322.065, 67711.74674342506), (1718266327.064, 67710.95028943454), (1718266332.053, 67708.63295414776), (1718266337.048, 67702.93795437526), (1718266342.068, 67703.56095740297), (1718266347.38, 67703.45038266848), (1718266352.065, 67702.00342409062), (1718266358.643, 67701.09000894902), (1718266363.598, 67703.10185676227)]",,1718266302.5435476
,,buy,120,completed,67648.4987468475,1718266907.93,67648.93289488895,win,1718266602600,SMA Crossover,"[(1718266787.051, 67648.4987468475), (1718266792.062, 67646.96900053829), (1718266797.044, 67646.01036691514), (1718266802.061, 67643.2754775934), (1718266807.067, 67643.2754775934), (1718266812.065, 67661.70286039224), (1718266817.05, 67657.5111767062), (1718266822.06, 67658.07959740802), (1718266827.046, 67667.076834245), (1718266832.064, 67666.77009720511), (1718266837.061, 67663.95418319812), (1718266842.049, 67657.40630013755), (1718266847.061, 67661.2216989936), (1718266852.062, 67661.47152892764), (1718266857.051, 67668.01443438865), (1718266862.055, 67659.68099655765), (1718266867.114, 67659.75318430488), (1718266872.961, 67658.7498065826), (1718266877.05, 67655.5641022249), (1718266883.204, 67653.11933756458), (1718266887.326, 67653.33884567859), (1718266892.143, 67649.718937246), (1718266897.944, 67650.18515438268), (1718266902.123, 67648.93289488895), (1718266907.93, 67648.93289488895)]",,1718266782.6005683
,,sell,60,completed,67648.93289488895,1718266967.057,67650.8434499667,loss,1718266723122,RSI Overbought,"[(1718266912.142, 67652.95155590524), (1718266918.274, 67655.01544411811), (1718266922.142, 67654.5172261503), (1718266927.055, 67653.61510629857), (1718266932.051, 67653.36240577648), (1718266937.051, 67652.71210186521), (1718266942.056, 67652.71210186521), (1718266947.047, 67653.17060090252), (1718266952.05, 67653.26679657654), (1718266957.056, 67653.25955132769), (1718266962.047, 67653.25955132769), (1718266967.057, 67650.8434499667)]",,1718266903.122587
,,buy,120,completed,67587.32714891533,1718269057.123,67584.06715281279,loss,1718268752433,SMA Crossover,"[(1718268937.108, 67587.32714891533), (1718268942.051, 67589.8121245631), (1718268947.046, 67587.83816351161), (1718268952.061, 67591.59114362118), (1718268957.044, 67596.66204035758), (1718268962.062, 67587.69723976839), (1718268967.057, 67586.75241951326), (1718268972.051, 67585.80179870076), (1718268977.048, 67584.68334671542), (1718268982.053, 67584.68334671542), (1718268987.044, 67601.68350987692), (1718268992.051, 67600.7128117018), (1718268997.059, 67597.84187561777), (1718269002.054, 67591.00127913682), (1718269007.045, 67584.49931029219), (1718269012.061, 67584.49931029219), (1718269017.045, 67584.65889646743), (1718269022.053, 67583.52652531672), (1718269027.352, 67584.09774120947), (1718269032.055, 67582.23709132707), (1718269037.049, 67583.10669239124), (1718269042.134, 67584.4840924689), (1718269047.122, 67582.82561903092), (1718269052.13, 67584.52049221475), (1718269057.123, 67584.06715281279)]",,1718268932.433781
,,sell,60,completed,67591.00127913682,1718269063.74,67584.36622140658,win,1718268817461,RSI Overbought,"[(1718269002.054, 67591.00127913682), (1718269007.045, 67584.49931029219), (1718269012.061, 67584.49931029219), (1718269017.045, 67584.65889646743), (1718269022.053, 67583.52652531672), (1718269027.352, 67584.09774120947), (1718269032.055, 67582.23709132707), (1718269037.049, 67583.10669239124), (1718269042.134, 67584.4840924689), (1718269047.122, 67582.82561903092), (1718269052.13, 67584.52049221475), (1718269063.74, 67584.36622140658)]",,1718268997.461522
,,sell,60,completed,67571.51837612974,1718269147.062,67565.088230841,win,1718268902513,RSI Overbought,"[(1718269087.139, 67571.51837612974), (1718269092.466, 67573.93807933264), (1718269097.064, 67571.80410379222), (1718269102.061, 67571.80410379222), (1718269107.063, 67568.3004353506), (1718269112.055, 67564.7671045425), (1718269117.05, 67564.00361940527), (1718269122.047, 67565.19210309762), (1718269127.047, 67567.92697040208), (1718269132.06, 67566.40308152487), (1718269137.044, 67561.07916671335), (1718269142.051, 67561.03866931681), (1718269147.062, 67565.088230841)]",,1718269082.5136364
,,buy,120,completed,67554.64441316474,1718269492.057,67552.89532667925,loss,1718269187436,SMA Crossover,"[(1718269372.063, 67554.64441316474), (1718269377.045, 67560.9018400913), (1718269382.053, 67565.07592290944), (1718269387.064, 67562.33761074908), (1718269392.047, 67564.21537966459), (1718269397.046, 67564.26592680592), (1718269402.138, 67566.99448905289), (1718269407.135, 67562.87408732563), (1718269412.148, 67566.82528323404), (1718269417.135, 67561.70438796686), (1718269422.064, 67540.92628620492), (1718269427.138, 67556.75660714667), (1718269432.531, 67556.73056948633), (1718269437.539, 67543.98705895703), (1718269442.064, 67549.49599263663), (1718269447.063, 67553.21450948431), (1718269452.062, 67550.68670230587), (1718269457.052, 67553.03345864038), (1718269462.062, 67549.86899747844), (1718269467.045, 67547.86565710047), (1718269472.051, 67548.4312037733), (1718269477.058, 67548.06782514795), (1718269482.055, 67547.64295208965), (1718269487.046, 67548.60424806875), (1718269492.057, 67552.89532667925)]",,1718269367.4360332
,,buy,120,completed,67555.6613983193,1718269622.731,67534.67853234812,loss,1718269318067,SMA Crossover,"[(1718269502.064, 67555.6613983193), (1718269507.063, 67552.267142857), (1718269512.052, 67552.267142857), (1718269517.053, 67538.7607108418), (1718269522.058, 67534.23073807944), (1718269527.045, 67529.00953320811), (1718269532.066, 67526.17666874567), (1718269537.057, 67541.90169055774), (1718269542.047, 67518.04498366454), (1718269547.048, 67528.03817700596), (1718269552.077, 67530.13447239803), (1718269557.043, 67522.77843865768), (1718269562.052, 67529.18779631997), (1718269567.062, 67532.11754865653), (1718269572.052, 67521.18870162175), (1718269577.044, 67528.59086690404), (1718269582.223, 67525.93770780551), (1718269587.067, 67524.54776385073), (1718269592.635, 67522.61690580532), (1718269597.066, 67524.10009405664), (1718269604.204, 67523.9834665169), (1718269608.148, 67532.46138934763), (1718269612.143, 67532.46138934763), (1718269617.219, 67534.96377434913), (1718269622.731, 67534.67853234812)]",,1718269498.0673773
,,buy,120,completed,67518.35623630084,1718269927.064,67527.4695016482,win,1718269623766,SMA Crossover,"[(1718269807.059, 67518.35623630084), (1718269812.063, 67513.20272599172), (1718269817.049, 67505.38356569767), (1718269822.059, 67500.16300816204), (1718269827.047, 67500.16300816204), (1718269832.056, 67503.85908935922), (1718269837.058, 67500.39608157714), (1718269842.05, 67500.75231195243), (1718269847.048, 67503.90211869008), (1718269852.056, 67505.67942586573), (1718269857.045, 67502.1693252837), (1718269862.057, 67502.3936999418), (1718269867.062, 67503.77751540099), (1718269872.051, 67511.57338144927), (1718269877.054, 67512.65479821364), (1718269882.058, 67512.65479821364), (1718269887.044, 67514.68954411095), (1718269892.063, 67512.20517285117), (1718269897.046, 67517.068379077), (1718269902.047, 67513.2901060224), (1718269907.048, 67513.4281954299), (1718269912.055, 67513.38396161073), (1718269917.045, 67521.94797007911), (1718269922.054, 67529.9989846414), (1718269927.064, 67527.4695016482)]",,1718269803.7665882
,,sell,60,completed,67517.068379077,1718269954.13,67534.49911713508,loss,1718269712612,RSI Overbought,"[(1718269897.046, 67517.068379077), (1718269902.047, 67513.2901060224), (1718269907.048, 67513.4281954299), (1718269912.055, 67513.38396161073), (1718269917.045, 67521.94797007911), (1718269922.054, 67529.9989846414), (1718269932.048, 67532.8455436244), (1718269937.045, 67534.85864284575), (1718269943.386, 67534.85864284575), (1718269947.129, 67535.64595729139), (1718269954.13, 67534.49911713508)]",,1718269892.6126764
,,sell,60,completed,67505.7243351324,1718270202.048,67510.44849090013,loss,1718269959341,RSI Overbought,"[(1718270142.145, 67505.7243351324), (1718270147.141, 67502.95613097111), (1718270152.412, 67502.95613097111), (1718270157.145, 67500.33907506173), (1718270162.119, 67500.33907506173), (1718270167.065, 67502.96312600173), (1718270172.048, 67500.53190012036), (1718270177.062, 67500.53190012036), (1718270182.065, 67504.9131442649), (1718270187.046, 67504.03747477327), (1718270192.052, 67504.49644322174), (1718270197.059, 67509.56576073002), (1718270202.048, 67510.44849090013)]",,1718270139.3411057
,,buy,120,completed,67493.93734829161,1718270372.059,67468.99305641044,loss,1718270067818,SMA Crossover,"[(1718270252.05, 67493.93734829161), (1718270257.062, 67497.35749655581), (1718270262.056, 67499.0491836332), (1718270267.051, 67500.01491618733), (1718270272.072, 67499.79119519748), (1718270277.05, 67499.68676565283), (1718270282.066, 67498.70257901114), (1718270287.066, 67497.7594326751), (1718270292.053, 67497.70476931472), (1718270297.052, 67491.77004170993), (1718270302.128, 67489.83208092826), (1718270307.054, 67485.75131120332), (1718270312.858, 67485.69848013944), (1718270317.125, 67487.5711654307), (1718270322.125, 67484.98384534093), (1718270327.152, 67484.26432675103), (1718270333.228, 67486.26531638125), (1718270337.147, 67489.32565198648), (1718270342.218, 67483.91583187286), (1718270347.85, 67483.24445690826), (1718270352.219, 67483.20043121217), (1718270357.129, 67485.4018956531), (1718270362.12, 67484.25480495303), (1718270367.069, 67473.10358190077), (1718270372.059, 67468.99305641044)]",,1718270247.8180597
,,buy,120,completed,67468.28769197663,1718270522.071,67452.82559132761,loss,1718270217413,SMA Crossover,"[(1718270402.064, 67468.28769197663), (1718270407.117, 67467.01461965908), (1718270412.079, 67467.78974382913), (1718270417.056, 67463.70955615102), (1718270422.066, 67459.58339706206), (1718270427.053, 67458.34347602724), (1718270432.061, 67453.26096260823), (1718270437.076, 67458.29920971456), (1718270442.062, 67453.99297665402), (1718270447.052, 67455.24088040164), (1718270452.068, 67459.77122486576), (1718270457.385, 67463.60941784053), (1718270462.06, 67464.98434727736), (1718270467.118, 67446.86429314106), (1718270472.62, 67446.55945421768), (1718270479.391, 67443.78302082207), (1718270483.176, 67449.83271544606), (1718270487.558, 67446.08934882298), (1718270492.136, 67450.97130490815), (1718270498.943, 67447.27854719221), (1718270502.511, 67444.67940425806), (1718270507.15, 67444.67940425806), (1718270512.64, 67432.23460434334), (1718270517.145, 67440.02310070583), (1718270522.071, 67452.82559132761)]",,1718270397.413184
,,buy,120,completed,67358.9423135135,1718270927.055,67349.64963035248,loss,1718270622523,SMA Crossover,"[(1718270807.058, 67358.9423135135), (1718270812.068, 67352.39805007145), (1718270817.05, 67354.02982503662), (1718270822.063, 67356.71365987428), (1718270827.07, 67345.2535608102), (1718270832.059, 67338.86606648557), (1718270837.066, 67337.17011050529), (1718270842.129, 67337.17011050529), (1718270848.728, 67327.63133818413), (1718270852.131, 67336.62222356815), (1718270858.629, 67333.69121991006), (1718270862.145, 67339.30946979184), (1718270868.721, 67347.4400682614), (1718270872.441, 67349.11382988775), (1718270877.242, 67347.43250417842), (1718270883.745, 67345.94319330322), (1718270887.548, 67345.60194566299), (1718270892.517, 67350.7184023257), (1718270897.122, 67348.5777995515), (1718270902.068, 67352.34051991615), (1718270907.068, 67350.72429716896), (1718270912.065, 67349.46523939264), (1718270917.117, 67348.30217795806), (1718270922.066, 67349.64963035248), (1718270927.055, 67349.64963035248)]",,1718270802.5232801
